previous,pdays,duration,poutcome,month,contact,housing,job,loan,education,marital,y_encoded
6,178,13,success,may,cellular,yes,blue-collar,no,secondary,married,0
0,-1,461,unknown,may,unknown,yes,blue-collar,no,secondary,single,0
0,-1,210,unknown,apr,cellular,yes,technician,no,secondary,married,0
0,-1,356,unknown,nov,cellular,no,unemployed,no,secondary,single,0
0,-1,318,unknown,nov,cellular,yes,management,no,tertiary,married,0
0,-1,375,unknown,jun,unknown,yes,technician,no,tertiary,married,0
0,-1,132,unknown,aug,cellular,no,technician,no,secondary,divorced,0
0,-1,353,unknown,may,unknown,yes,technician,no,secondary,married,0
0,-1,1269,unknown,jul,cellular,yes,housemaid,yes,tertiary,married,0
0,-1,8,unknown,feb,telephone,yes,services,no,secondary,married,0
0,-1,112,unknown,sep,cellular,yes,housemaid,no,primary,married,0
0,-1,101,unknown,jul,cellular,no,entrepreneur,yes,secondary,married,0
0,-1,298,unknown,may,cellular,yes,blue-collar,no,secondary,married,0
0,-1,232,unknown,jul,cellular,yes,services,yes,secondary,married,0
0,-1,396,unknown,sep,telephone,no,technician,no,secondary,married,1
1,394,257,failure,mar,unknown,no,services,no,secondary,married,1
0,-1,75,unknown,feb,cellular,no,management,no,tertiary,married,0
0,-1,33,unknown,may,unknown,no,technician,no,secondary,married,0
0,-1,145,unknown,may,unknown,yes,admin.,no,secondary,married,0
5,244,88,failure,jan,cellular,yes,technician,no,secondary,married,0
2,260,342,failure,feb,cellular,yes,admin.,no,secondary,divorced,0
2,350,225,failure,may,telephone,yes,blue-collar,no,secondary,single,0
0,-1,56,unknown,aug,cellular,no,management,no,tertiary,single,0
0,-1,51,unknown,jul,telephone,yes,blue-collar,no,secondary,married,0
0,-1,8,unknown,jun,unknown,no,unknown,no,secondary,single,0
0,-1,226,unknown,nov,cellular,yes,management,no,tertiary,married,0
0,-1,188,unknown,nov,cellular,yes,admin.,yes,secondary,married,0
0,-1,177,unknown,nov,cellular,yes,self-employed,no,tertiary,married,0
3,368,263,failure,jun,cellular,yes,services,no,secondary,married,1
1,93,203,failure,jan,telephone,no,retired,no,primary,married,0
